ai_strategy,game_number,turns_to_win
RandomAI,319,100
RandomAI,320,98
RandomAI,321,99
RandomAI,322,89
RandomAI,323,99
RandomAI,324,97
RandomAI,325,100
RandomAI,326,92
RandomAI,327,94
RandomAI,328,94
RandomAI,329,96
RandomAI,330,99
RandomAI,331,98
RandomAI,332,95
RandomAI,333,97
RandomAI,334,89
RandomAI,335,93
RandomAI,336,100
RandomAI,337,98
RandomAI,338,98
RandomAI,339,93
RandomAI,340,100
RandomAI,341,98
RandomAI,342,93
RandomAI,343,96
RandomAI,344,90
RandomAI,345,99
RandomAI,346,87
RandomAI,347,79
RandomAI,348,99
RandomAI,349,99
RandomAI,350,96
RandomAI,351,99
RandomAI,352,97
RandomAI,353,90
RandomAI,354,100
RandomAI,355,97
RandomAI,356,98
RandomAI,357,96
RandomAI,358,100
RandomAI,359,99
RandomAI,360,85
RandomAI,361,94
RandomAI,362,99
RandomAI,363,100
RandomAI,364,100
RandomAI,365,99
RandomAI,366,99
RandomAI,367,96
RandomAI,368,99
RandomAI,369,99
RandomAI,370,97
RandomAI,371,99
RandomAI,372,100
RandomAI,373,98
RandomAI,374,99
RandomAI,375,97
RandomAI,376,90
RandomAI,377,100
RandomAI,378,94
RandomAI,379,100
RandomAI,380,97
RandomAI,381,99
RandomAI,382,100
RandomAI,383,100
RandomAI,384,93
RandomAI,385,100
RandomAI,386,89
RandomAI,387,90
RandomAI,388,87
RandomAI,389,99
RandomAI,390,97
RandomAI,391,95
RandomAI,392,100
RandomAI,393,100
RandomAI,394,98
RandomAI,395,95
RandomAI,396,98
RandomAI,397,94
RandomAI,398,81
RandomAI,399,99
RandomAI,400,98
RandomAI,401,96
RandomAI,402,99
RandomAI,403,100
RandomAI,404,96
RandomAI,405,97
RandomAI,406,97
RandomAI,407,96
RandomAI,408,96
RandomAI,409,97
RandomAI,410,96
RandomAI,411,96
RandomAI,412,90
RandomAI,413,94
RandomAI,414,96
RandomAI,415,100
RandomAI,416,99
RandomAI,417,99
RandomAI,418,96
RandomAI,419,95
RandomAI,420,94
RandomAI,421,99
RandomAI,422,98
RandomAI,423,97
RandomAI,424,92
RandomAI,425,95
RandomAI,426,99
RandomAI,427,97
RandomAI,428,100
RandomAI,429,97
RandomAI,430,95
RandomAI,431,100
RandomAI,432,91
RandomAI,433,97
RandomAI,434,94
RandomAI,435,77
RandomAI,436,88
RandomAI,437,96
RandomAI,438,94
RandomAI,439,95
RandomAI,440,100
RandomAI,441,100
RandomAI,442,93
RandomAI,443,97
RandomAI,444,98
RandomAI,445,98
RandomAI,446,100
RandomAI,447,91
RandomAI,448,100
RandomAI,449,95
RandomAI,450,99
RandomAI,451,96
RandomAI,452,96
RandomAI,453,100
RandomAI,454,100
RandomAI,455,99
RandomAI,456,83
RandomAI,457,94
RandomAI,458,99
RandomAI,459,96
RandomAI,460,92
RandomAI,461,98
RandomAI,462,99
RandomAI,463,100
RandomAI,464,97
RandomAI,465,95
RandomAI,466,92
RandomAI,467,96
RandomAI,468,99
RandomAI,469,76
RandomAI,470,98
RandomAI,471,89
RandomAI,472,99
RandomAI,473,91
RandomAI,474,96
RandomAI,475,89
RandomAI,476,99
RandomAI,477,97
RandomAI,478,90
RandomAI,479,99
RandomAI,480,91
RandomAI,481,100
RandomAI,482,96
RandomAI,483,95
RandomAI,484,100
RandomAI,485,96
RandomAI,486,99
RandomAI,487,98
RandomAI,488,88
RandomAI,489,95
RandomAI,490,97
RandomAI,491,94
RandomAI,492,91
RandomAI,493,100
RandomAI,494,93
RandomAI,495,100
RandomAI,496,98
RandomAI,497,100
RandomAI,498,93
RandomAI,499,96
RandomAI,500,99
RandomAI,501,94
RandomAI,502,100
RandomAI,503,97
RandomAI,504,86
RandomAI,505,81
RandomAI,506,98
RandomAI,507,97
RandomAI,508,89
RandomAI,509,100
RandomAI,510,93
RandomAI,511,96
RandomAI,512,89
RandomAI,513,100
RandomAI,514,95
RandomAI,515,91
RandomAI,516,90
RandomAI,517,90
RandomAI,518,97
RandomAI,519,93
RandomAI,520,76
RandomAI,521,95
RandomAI,522,100
RandomAI,523,97
RandomAI,524,98
RandomAI,525,97
RandomAI,526,95
RandomAI,527,96
RandomAI,528,89
RandomAI,529,96
RandomAI,530,99
RandomAI,531,100
RandomAI,532,93
RandomAI,533,93
RandomAI,534,95
RandomAI,535,88
RandomAI,536,92
RandomAI,537,100
RandomAI,538,100
RandomAI,539,99
RandomAI,540,99
RandomAI,541,90
RandomAI,542,100
RandomAI,543,100
RandomAI,544,90
RandomAI,545,98
RandomAI,546,92
RandomAI,547,88
RandomAI,548,96
RandomAI,549,90
RandomAI,550,100
RandomAI,551,98
RandomAI,552,93
RandomAI,553,94
RandomAI,554,97
RandomAI,555,99
RandomAI,556,98
RandomAI,557,97
RandomAI,558,98
RandomAI,559,91
RandomAI,560,97
